Mn Ka
Mn Metal data for Charles
Ge333, Pd target
35kV 2.0 mA
***************************
Energy_(eV)	theta_(deg)	source_(ustep)	detect_(ustep)	ROI_counts	total_counts	real_time	live_time	cnts_per_live	ICR_(cnts/sec)	OCR_(cnts/sec)
5.87000000E+3	7.62105241E+1	-7.68694000E+5	-7.45856000E+5	0.00000000E+0	4.00000000E+0	5.50000000E-1	5.50000000E-1	0.00000000E+0	0.00000000E+0	7.27272727E+0
5.87025000E+3	7.62007968E+1	-7.69463000E+5	-7.46630000E+5	3.00000000E+0	1.00000000E+1	5.50000000E-1	5.50000000E-1	5.45454545E+0	9.09090909E+0	1.81818182E+1
5.87050000E+3	7.61910769E+1	-7.70232000E+5	-7.47402000E+5	0.00000000E+0	8.00000000E+0	5.49000000E-1	5.50000000E-1	0.00000000E+0	1.82149362E+0	1.45719490E+1
5.87075000E+3	7.61813644E+1	-7.70999000E+5	-7.48174000E+5	2.00000000E+0	1.00000000E+1	5.50000000E-1	5.50000000E-1	3.63636364E+0	1.09090909E+1	1.81818182E+1
5.87100000E+3	7.61716593E+1	-7.71767000E+5	-7.48945000E+5	3.00000000E+0	1.00000000E+1	5.50000000E-1	5.50000000E-1	5.45454545E+0	5.45454545E+0	1.81818182E+1
5.87125000E+3	7.61619615E+1	-7.72533000E+5	-7.49716000E+5	1.00000000E+0	1.00000000E+1	5.50000000E-1	5.50000000E-1	1.81818182E+0	7.27272727E+0	1.81818182E+1
5.87150000E+3	7.61522710E+1	-7.73298000E+5	-7.50485000E+5	2.00000000E+0	7.00000000E+0	5.49000000E-1	5.49000000E-1	3.64298725E+0	5.46448087E+0	1.27504554E+1
5.87175000E+3	7.61425879E+1	-7.74063000E+5	-7.51254000E+5	2.00000000E+0	1.40000000E+1	5.50000000E-1	5.50000000E-1	3.63636364E+0	3.63636364E+0	2.54545455E+1
5.87200000E+3	7.61329121E+1	-7.74828000E+5	-7.52023000E+5	1.00000000E+0	6.00000000E+0	5.49000000E-1	5.50000000E-1	1.81818182E+0	3.64298725E+0	1.09289617E+1
5.87225000E+3	7.61232436E+1	-7.75591000E+5	-7.52790000E+5	2.00000000E+0	7.00000000E+0	5.49000000E-1	5.50000000E-1	3.63636364E+0	5.46448087E+0	1.27504554E+1
5.87250000E+3	7.61135824E+1	-7.76354000E+5	-7.53557000E+5	0.00000000E+0	4.00000000E+0	5.51000000E-1	5.51000000E-1	0.00000000E+0	0.00000000E+0	7.25952813E+0
