Mn Ka
MnO data for Charles
Ge333, Pd target
35kV 2.0 mA
***************************
Energy_(eV)	theta_(deg)	source_(ustep)	detect_(ustep)	ROI_counts	total_counts	real_time	live_time	cnts_per_live	ICR_(cnts/sec)	OCR_(cnts/sec)
5.88600000E+3	7.56022948E+1	-8.16519000E+5	-7.93943000E+5	0.00000000E+0	0.00000000E+0	1.05000000E+0	1.05000000E+0	0.00000000E+0	0.00000000E+0	0.00000000E+0
5.88625000E+3	7.55930124E+1	-8.17245000E+5	-7.94673000E+5	0.00000000E+0	0.00000000E+0	1.04900000E+0	1.05000000E+0	0.00000000E+0	0.00000000E+0	0.00000000E+0
5.88650000E+3	7.55837366E+1	-8.17970000E+5	-7.95402000E+5	0.00000000E+0	0.00000000E+0	1.04900000E+0	1.05000000E+0	0.00000000E+0	0.00000000E+0	0.00000000E+0
5.88675000E+3	7.55744672E+1	-8.18694000E+5	-7.96130000E+5	0.00000000E+0	0.00000000E+0	1.04900000E+0	1.04900000E+0	0.00000000E+0	0.00000000E+0	0.00000000E+0
5.88700000E+3	7.55652044E+1	-8.19418000E+5	-7.96858000E+5	0.00000000E+0	0.00000000E+0	1.05000000E+0	1.05000000E+0	0.00000000E+0	0.00000000E+0	0.00000000E+0
5.88725000E+3	7.55559480E+1	-8.20141000E+5	-7.97585000E+5	0.00000000E+0	0.00000000E+0	1.05000000E+0	1.05000000E+0	0.00000000E+0	0.00000000E+0	0.00000000E+0
5.88750000E+3	7.55466981E+1	-8.20863000E+5	-7.98311000E+5	2.30000000E+1	3.30000000E+1	1.05000000E+0	1.05000000E+0	2.19047619E+1	2.38095238E+1	3.14285714E+1
5.88775000E+3	7.55374547E+1	-8.21585000E+5	-7.99037000E+5	4.10000000E+1	5.30000000E+1	1.04900000E+0	1.05000000E+0	3.90476190E+1	4.19447092E+1	5.05243089E+1
5.88800000E+3	7.55282177E+1	-8.22306000E+5	-7.99762000E+5	3.90000000E+1	5.60000000E+1	1.04900000E+0	1.04900000E+0	3.71782650E+1	4.00381316E+1	5.33841754E+1
5.88825000E+3	7.55189871E+1	-8.23026000E+5	-8.00487000E+5	3.90000000E+1	5.20000000E+1	1.05000000E+0	1.05000000E+0	3.71428571E+1	4.19047619E+1	4.95238095E+1
5.88850000E+3	7.55097630E+1	-8.23746000E+5	-8.01210000E+5	4.30000000E+1	5.70000000E+1	1.05100000E+0	1.05100000E+0	4.09134158E+1	4.37678402E+1	5.42340628E+1
5.88875000E+3	7.55005453E+1	-8.24465000E+5	-8.01934000E+5	4.40000000E+1	5.60000000E+1	1.05000000E+0	1.05000000E+0	4.19047619E+1	4.38095238E+1	5.33333333E+1
5.88900000E+3	7.54913339E+1	-8.25184000E+5	-8.02656000E+5	5.80000000E+1	6.90000000E+1	1.04900000E+0	1.04900000E+0	5.52907531E+1	5.81506196E+1	6.57769304E+1
5.88925000E+3	7.54821290E+1	-8.25902000E+5	-8.03378000E+5	5.50000000E+1	6.50000000E+1	1.04900000E+0	1.05000000E+0	5.23809524E+1	5.52907531E+1	6.19637750E+1
5.88950000E+3	7.54729304E+1	-8.26619000E+5	-8.04100000E+5	6.90000000E+1	8.40000000E+1	1.04900000E+0	1.05000000E+0	6.57142857E+1	6.67302193E+1	8.00762631E+1
5.88975000E+3	7.54637382E+1	-8.27335000E+5	-8.04820000E+5	7.70000000E+1	9.00000000E+1	1.04900000E+0	1.05000000E+0	7.33333333E+1	7.81696854E+1	8.57959962E+1
5.89000000E+3	7.54545523E+1	-8.28051000E+5	-8.05540000E+5	9.10000000E+1	9.80000000E+1	1.05000000E+0	1.05100000E+0	8.65842055E+1	8.95238095E+1	9.33333333E+1
5.89025000E+3	7.54453728E+1	-8.28767000E+5	-8.06260000E+5	1.15000000E+2	1.22000000E+2	1.05000000E+0	1.05100000E+0	1.09419600E+2	1.09523810E+2	1.16190476E+2
5.89050000E+3	7.54361996E+1	-8.29482000E+5	-8.06979000E+5	1.12000000E+2	1.22000000E+2	1.04800000E+0	1.04900000E+0	1.06768351E+2	1.07824427E+2	1.16412214E+2
5.89075000E+3	7.54270327E+1	-8.30196000E+5	-8.07697000E+5	1.20000000E+2	1.36000000E+2	1.04900000E+0	1.05000000E+0	1.14285714E+2	1.20114395E+2	1.29647283E+2
5.89100000E+3	7.54178721E+1	-8.30909000E+5	-8.08415000E+5	1.46000000E+2	1.59000000E+2	1.04900000E+0	1.04900000E+0	1.39180172E+2	1.42040038E+2	1.51572927E+2
5.89125000E+3	7.54087178E+1	-8.31622000E+5	-8.09132000E+5	1.77000000E+2	1.89000000E+2	1.05100000E+0	1.05100000E+0	1.68411037E+2	1.72216936E+2	1.79828735E+2
5.89150000E+3	7.53995698E+1	-8.32335000E+5	-8.09848000E+5	2.11000000E+2	2.19000000E+2	1.05000000E+0	1.05000000E+0	2.00952381E+2	2.04761905E+2	2.08571429E+2
5.89175000E+3	7.53904280E+1	-8.33046000E+5	-8.10564000E+5	2.19000000E+2	2.31000000E+2	1.05000000E+0	1.05000000E+0	2.08571429E+2	2.13333333E+2	2.20000000E+2
5.89200000E+3	7.53812925E+1	-8.33757000E+5	-8.11279000E+5	2.22000000E+2	2.38000000E+2	1.05000000E+0	1.05000000E+0	2.11428571E+2	2.21904762E+2	2.26666667E+2
5.89225000E+3	7.53721632E+1	-8.34468000E+5	-8.11993000E+5	2.20000000E+2	2.30000000E+2	1.05000000E+0	1.05000000E+0	2.09523810E+2	2.11428571E+2	2.19047619E+2
5.89250000E+3	7.53630402E+1	-8.35178000E+5	-8.12707000E+5	2.15000000E+2	2.21000000E+2	1.05000000E+0	1.05000000E+0	2.04761905E+2	2.06666667E+2	2.10476190E+2
5.89275000E+3	7.53539234E+1	-8.35887000E+5	-8.13420000E+5	2.55000000E+2	2.69000000E+2	1.05000000E+0	1.05000000E+0	2.42857143E+2	2.47619048E+2	2.56190476E+2
5.89300000E+3	7.53448128E+1	-8.36595000E+5	-8.14133000E+5	2.31000000E+2	2.44000000E+2	1.05000000E+0	1.05100000E+0	2.19790676E+2	2.23809524E+2	2.32380952E+2
5.89325000E+3	7.53357084E+1	-8.37303000E+5	-8.14845000E+5	2.07000000E+2	2.17000000E+2	1.04900000E+0	1.04900000E+0	1.97330791E+2	1.99237369E+2	2.06863680E+2
5.89350000E+3	7.53266102E+1	-8.38011000E+5	-8.15557000E+5	2.27000000E+2	2.38000000E+2	1.05000000E+0	1.05100000E+0	2.15984776E+2	2.19047619E+2	2.26666667E+2
