Mn Ka
Mn2O3 data for Charles
Ge333, Pd target
35kV 2.0 mA
***************************
Energy_(eV)	theta_(deg)	source_(ustep)	detect_(ustep)	ROI_counts	total_counts	real_time	live_time	cnts_per_live	ICR_(cnts/sec)	OCR_(cnts/sec)
5.88600000E+3	7.56022948E+1	-8.16519000E+5	-7.93943000E+5	1.00000000E+1	2.30000000E+1	1.05000000E+0	1.05000000E+0	9.52380952E+0	1.14285714E+1	2.19047619E+1
5.88625000E+3	7.55930124E+1	-8.17245000E+5	-7.94673000E+5	9.00000000E+0	2.10000000E+1	1.04900000E+0	1.05000000E+0	8.57142857E+0	9.53288847E+0	2.00190658E+1
5.88650000E+3	7.55837366E+1	-8.17970000E+5	-7.95402000E+5	2.20000000E+1	3.30000000E+1	1.04900000E+0	1.05000000E+0	2.09523810E+1	2.28789323E+1	3.14585319E+1
5.88675000E+3	7.55744672E+1	-8.18694000E+5	-7.96130000E+5	1.40000000E+1	2.90000000E+1	1.04900000E+0	1.05000000E+0	1.33333333E+1	1.52526215E+1	2.76453765E+1
5.88700000E+3	7.55652044E+1	-8.19418000E+5	-7.96858000E+5	2.00000000E+1	2.70000000E+1	1.05000000E+0	1.05100000E+0	1.90294957E+1	2.09523810E+1	2.57142857E+1
5.88725000E+3	7.55559480E+1	-8.20141000E+5	-7.97585000E+5	1.30000000E+1	2.20000000E+1	1.04900000E+0	1.05000000E+0	1.23809524E+1	1.42993327E+1	2.09723546E+1
5.88750000E+3	7.55466981E+1	-8.20863000E+5	-7.98311000E+5	1.80000000E+1	3.00000000E+1	1.05000000E+0	1.05000000E+0	1.71428571E+1	2.09523810E+1	2.85714286E+1
5.88775000E+3	7.55374547E+1	-8.21585000E+5	-7.99037000E+5	1.70000000E+1	3.00000000E+1	1.05000000E+0	1.05000000E+0	1.61904762E+1	1.80952381E+1	2.85714286E+1
5.88800000E+3	7.55282177E+1	-8.22306000E+5	-7.99762000E+5	2.70000000E+1	3.90000000E+1	1.04900000E+0	1.05000000E+0	2.57142857E+1	2.76453765E+1	3.71782650E+1
5.88825000E+3	7.55189871E+1	-8.23026000E+5	-8.00487000E+5	1.80000000E+1	3.50000000E+1	1.04900000E+0	1.04900000E+0	1.71591992E+1	2.09723546E+1	3.33651096E+1
5.88850000E+3	7.55097630E+1	-8.23746000E+5	-8.01210000E+5	1.70000000E+1	3.00000000E+1	1.05000000E+0	1.05000000E+0	1.61904762E+1	1.71428571E+1	2.85714286E+1
5.88875000E+3	7.55005453E+1	-8.24465000E+5	-8.01934000E+5	3.40000000E+1	4.80000000E+1	1.05000000E+0	1.05000000E+0	3.23809524E+1	3.42857143E+1	4.57142857E+1
5.88900000E+3	7.54913339E+1	-8.25184000E+5	-8.02656000E+5	3.00000000E+1	4.10000000E+1	1.04900000E+0	1.04900000E+0	2.85986654E+1	3.14585319E+1	3.90848427E+1
5.88925000E+3	7.54821290E+1	-8.25902000E+5	-8.03378000E+5	5.70000000E+1	6.40000000E+1	1.05100000E+0	1.05200000E+0	5.41825095E+1	5.61370124E+1	6.08943863E+1
5.88950000E+3	7.54729304E+1	-8.26619000E+5	-8.04100000E+5	5.80000000E+1	6.90000000E+1	1.05000000E+0	1.05100000E+0	5.51855376E+1	5.80952381E+1	6.57142857E+1
5.88975000E+3	7.54637382E+1	-8.27335000E+5	-8.04820000E+5	5.80000000E+1	7.00000000E+1	1.04900000E+0	1.04900000E+0	5.52907531E+1	5.81506196E+1	6.67302193E+1
