Mn Ka
MnO2 data for Charles
Ge333, Pd target
35kV 2.0 mA
***************************
Energy_(eV)	theta_(deg)	source_(ustep)	detect_(ustep)	ROI_counts	total_counts	real_time	live_time	cnts_per_live	ICR_(cnts/sec)	OCR_(cnts/sec)
5.86600000E+3	7.63671807E+1	-7.56287000E+5	-7.33383000E+5	2.90000000E+1	1.20000000E+2	1.00510000E+1	1.00510000E+1	2.88528505E+0	5.17361457E+0	1.19391105E+1
5.86700000E+3	7.63278350E+1	-7.59406000E+5	-7.36519000E+5	1.80000000E+1	1.32000000E+2	1.00500000E+1	1.00510000E+1	1.79086658E+0	3.38308458E+0	1.31343284E+1
5.86800000E+3	7.62886110E+1	-7.62514000E+5	-7.39644000E+5	2.70000000E+1	1.24000000E+2	1.00500000E+1	1.00500000E+1	2.68656716E+0	4.87562189E+0	1.23383085E+1
5.86900000E+3	7.62495077E+1	-7.65610000E+5	-7.42756000E+5	2.80000000E+1	1.28000000E+2	1.00500000E+1	1.00510000E+1	2.78579246E+0	5.07462687E+0	1.27363184E+1
5.87000000E+3	7.62105241E+1	-7.68694000E+5	-7.45856000E+5	2.80000000E+1	1.33000000E+2	1.00490000E+1	1.00500000E+1	2.78606965E+0	5.57269380E+0	1.32351478E+1
5.87100000E+3	7.61716593E+1	-7.71767000E+5	-7.48945000E+5	4.10000000E+1	1.42000000E+2	1.00480000E+1	1.00490000E+1	4.08000796E+0	6.46894904E+0	1.41321656E+1
5.87200000E+3	7.61329121E+1	-7.74828000E+5	-7.52023000E+5	3.40000000E+1	1.34000000E+2	1.00510000E+1	1.00510000E+1	3.38274799E+0	5.37259974E+0	1.33320068E+1
5.87300000E+3	7.60942818E+1	-7.77877000E+5	-7.55089000E+5	4.80000000E+1	1.54000000E+2	1.00500000E+1	1.00510000E+1	4.77564421E+0	6.96517413E+0	1.53233831E+1
5.87400000E+3	7.60557672E+1	-7.80915000E+5	-7.58143000E+5	5.50000000E+1	1.66000000E+2	1.00500000E+1	1.00500000E+1	5.47263682E+0	7.46268657E+0	1.65174129E+1
5.87500000E+3	7.60173675E+1	-7.83942000E+5	-7.61187000E+5	4.30000000E+1	1.48000000E+2	1.00500000E+1	1.00510000E+1	4.27818128E+0	5.87064677E+0	1.47263682E+1
5.87600000E+3	7.59790818E+1	-7.86958000E+5	-7.64219000E+5	5.10000000E+1	1.66000000E+2	1.00510000E+1	1.00510000E+1	5.07412198E+0	7.46194409E+0	1.65157696E+1
5.87700000E+3	7.59409090E+1	-7.89963000E+5	-7.67240000E+5	5.10000000E+1	1.62000000E+2	1.00490000E+1	1.00490000E+1	5.07513185E+0	6.86635486E+0	1.61210071E+1
5.87800000E+3	7.59028484E+1	-7.92956000E+5	-7.70250000E+5	5.10000000E+1	1.49000000E+2	1.00500000E+1	1.00500000E+1	5.07462687E+0	7.76119403E+0	1.48258706E+1
5.87900000E+3	7.58648990E+1	-7.95939000E+5	-7.73249000E+5	6.60000000E+1	1.74000000E+2	1.00500000E+1	1.00510000E+1	6.56651079E+0	9.05472637E+0	1.73134328E+1
5.88000000E+3	7.58270599E+1	-7.98911000E+5	-7.76237000E+5	9.50000000E+1	1.90000000E+2	1.00480000E+1	1.00490000E+1	9.45367698E+0	1.12460191E+1	1.89092357E+1
5.88100000E+3	7.57893303E+1	-8.01872000E+5	-7.79215000E+5	9.80000000E+1	1.95000000E+2	1.00490000E+1	1.00500000E+1	9.75124378E+0	1.18419743E+1	1.94049159E+1
5.88200000E+3	7.57517093E+1	-8.04823000E+5	-7.82181000E+5	9.80000000E+1	1.89000000E+2	1.00500000E+1	1.00500000E+1	9.75124378E+0	1.17412935E+1	1.88059701E+1
5.88300000E+3	7.57141961E+1	-8.07762000E+5	-7.85138000E+5	1.32000000E+2	2.40000000E+2	1.00490000E+1	1.00490000E+1	1.31356354E+1	1.54244203E+1	2.38829734E+1
5.88400000E+3	7.56767898E+1	-8.10692000E+5	-7.88083000E+5	1.49000000E+2	2.52000000E+2	1.00490000E+1	1.00500000E+1	1.48258706E+1	1.75141805E+1	2.50771221E+1
5.88500000E+3	7.56394896E+1	-8.13611000E+5	-7.91018000E+5	1.95000000E+2	3.15000000E+2	1.00500000E+1	1.00500000E+1	1.94029851E+1	2.19900498E+1	3.13432836E+1
5.88600000E+3	7.56022948E+1	-8.16519000E+5	-7.93943000E+5	4.15000000E+2	5.67000000E+2	1.50490000E+1	1.50500000E+1	2.75747508E+1	2.97029703E+1	3.76769221E+1
5.88625000E+3	7.55930124E+1	-8.17245000E+5	-7.94673000E+5	4.24000000E+2	5.91000000E+2	1.50500000E+1	1.50510000E+1	2.81708857E+1	3.02990033E+1	3.92691030E+1
5.88650000E+3	7.55837366E+1	-8.17970000E+5	-7.95402000E+5	4.88000000E+2	6.43000000E+2	1.50490000E+1	1.50500000E+1	3.24252492E+1	3.46202405E+1	4.27270915E+1
5.88675000E+3	7.55744672E+1	-8.18694000E+5	-7.96130000E+5	5.87000000E+2	7.27000000E+2	1.50490000E+1	1.50490000E+1	3.90059140E+1	4.13316499E+1	4.83088577E+1
5.88700000E+3	7.55652044E+1	-8.19418000E+5	-7.96858000E+5	5.40000000E+2	7.09000000E+2	1.50500000E+1	1.50500000E+1	3.58803987E+1	3.87375415E+1	4.71096346E+1
