Pd X-ray tube.  At 35 kV and 2 mA. Ge422  optic. SS 50 micron shim
***************************
Energy_(eV)	theta_(deg)	source_(ustep)	detect_(ustep)	ROI_counts	total_counts	real_time	live_time	cnts_per_live	ICR_(cnts/sec)	OCR_(cnts/sec)
5.39000000E+3	8.48611498E+1	-1.72930000E+4	-1.46450000E+4	3.08000000E+2	6.86000000E+2	1.00490000E+1	1.00490000E+1	3.06498159E+1	5.89113345E+1	6.82654991E+1
5.39020000E+3	8.48377013E+1	-1.93620000E+4	-1.67150000E+4	3.18000000E+2	6.78000000E+2	1.00500000E+1	1.00500000E+1	3.16417910E+1	5.99004975E+1	6.74626866E+1
5.39040000E+3	8.48143597E+1	-2.14210000E+4	-1.87750000E+4	2.90000000E+2	6.52000000E+2	1.00490000E+1	1.00490000E+1	2.88585929E+1	5.71201115E+1	6.48820778E+1
5.39060000E+3	8.47911235E+1	-2.34710000E+4	-2.08250000E+4	3.14000000E+2	6.78000000E+2	1.00500000E+1	1.00500000E+1	3.12437811E+1	5.87064677E+1	6.74626866E+1
5.39080000E+3	8.47679913E+1	-2.55110000E+4	-2.28650000E+4	3.11000000E+2	6.81000000E+2	1.00490000E+1	1.00500000E+1	3.09452736E+1	5.74186486E+1	6.77679371E+1
5.39100000E+3	8.47449618E+1	-2.75420000E+4	-2.48960000E+4	3.25000000E+2	6.66000000E+2	1.00490000E+1	1.00490000E+1	3.23415265E+1	5.84137725E+1	6.62752513E+1
5.39120000E+3	8.47220337E+1	-2.95640000E+4	-2.69180000E+4	3.33000000E+2	6.34000000E+2	1.00500000E+1	1.00500000E+1	3.31343284E+1	5.49253731E+1	6.30845771E+1
5.39140000E+3	8.46992055E+1	-3.15760000E+4	-2.89310000E+4	3.29000000E+2	6.69000000E+2	1.00500000E+1	1.00500000E+1	3.27363184E+1	5.76119403E+1	6.65671642E+1
5.39160000E+3	8.46764762E+1	-3.35790000E+4	-3.09350000E+4	3.66000000E+2	7.22000000E+2	1.00500000E+1	1.00500000E+1	3.64179104E+1	6.19900498E+1	7.18407960E+1
5.39180000E+3	8.46538443E+1	-3.55740000E+4	-3.29300000E+4	3.60000000E+2	7.21000000E+2	1.00500000E+1	1.00500000E+1	3.58208955E+1	6.21890547E+1	7.17412935E+1
5.39200000E+3	8.46313086E+1	-3.75600000E+4	-3.49160000E+4	3.74000000E+2	7.11000000E+2	1.00500000E+1	1.00500000E+1	3.72139303E+1	6.12935323E+1	7.07462687E+1
5.39220000E+3	8.46088681E+1	-3.95370000E+4	-3.68940000E+4	3.54000000E+2	6.69000000E+2	1.00490000E+1	1.00490000E+1	3.52273858E+1	5.79162106E+1	6.65737884E+1
5.39240000E+3	8.45865214E+1	-4.15060000E+4	-3.88630000E+4	3.62000000E+2	6.75000000E+2	1.00510000E+1	1.00510000E+1	3.60163168E+1	5.85016416E+1	6.71574968E+1
5.39260000E+3	8.45642674E+1	-4.34660000E+4	-4.08230000E+4	3.93000000E+2	7.21000000E+2	1.00500000E+1	1.00500000E+1	3.91044776E+1	6.23880597E+1	7.17412935E+1
5.39280000E+3	8.45421051E+1	-4.54170000E+4	-4.27750000E+4	3.83000000E+2	7.14000000E+2	1.00500000E+1	1.00500000E+1	3.81094527E+1	6.12935323E+1	7.10447761E+1
5.39300000E+3	8.45200333E+1	-4.73610000E+4	-4.47190000E+4	4.19000000E+2	7.38000000E+2	1.00490000E+1	1.00500000E+1	4.16915423E+1	6.43845159E+1	7.34401433E+1
